"fromId","mean_score","lat","lon","pop","amn_density","trafficScore","need","efficiency"
"59153096002",0.59,49.2128,-123.1044,0.83,0.62,0.41,0.69,-0.135416666666667
"59153096003",0.61,49.212,-123.1035,0.64,0.61,0.41,0.57,0.0104166666666667
"59153097001",0.75,49.2138,-123.1113,0.41,0.62,0.41,0.43,0.302083333333333
"59153097002",0.74,49.213,-123.1113,0.63,0.62,0.41,0.57,0.145833333333333
"59153097003",0.79,49.213,-123.1131,0.16,0.63,0.41,0.3,0.479166666666667
"59153097007",0.56,49.2106,-123.1046,0.13,0.61,0.41,0.28,0.260416666666667
"59153097008",0.46,49.2082,-123.1047,0.13,0.6,0.41,0.27,0.166666666666667
"59153097013",0.78,49.2085,-123.1162,0.96,0.6,0.41,0.75,0
"59153097014",0.43,49.2071,-123.1093,0.13,0.59,0.41,0.27,0.135416666666667
"59153097015",0.44,49.2083,-123.1084,0.13,0.59,0.41,0.27,0.145833333333333
"59153097017",0.34,49.2056,-123.1093,0.13,0.58,0.41,0.26,0.0520833333333335
"59153097021",0.76,49.2121,-123.1117,0.42,0.63,0.41,0.44,0.302083333333333
"59153097022",0.62,49.2129,-123.1083,0.65,0.62,0.41,0.59,0
"59153097023",0.64,49.2092,-123.1126,0.13,0.61,0.41,0.28,0.34375
"59153097024",0.52,49.2109,-123.1083,0.13,0.61,0.41,0.28,0.21875
"59153098008",0.78,49.2079,-123.1181,0.85,0.6,0.41,0.69,0.0625
"59153098009",0.81,49.2087,-123.1199,0.13,0.6,0.41,0.27,0.53125
"59153098010",0.74,49.2068,-123.1214,0.82,0.58,0.41,0.66,0.0520833333333333
"59153099001",0.36,49.1361,-123.12,0.59,0.33,0.43,0.38,-0.0520833333333334
"59153099002",0.39,49.136,-123.1185,0.38,0.35,0.43,0.28,0.0833333333333335
"59153099003",0.42,49.1342,-123.1185,0.26,0.33,0.43,0.22,0.177083333333333
"59153099004",0.44,49.1342,-123.1167,0.42,0.33,0.36,0.26,0.15625
"59153099005",0.4,49.1357,-123.1157,0.85,0.33,0.36,0.49,-0.125
"59153102001",0.41,49.1353,-123.1256,0.93,0.33,0.42,0.59,-0.21875
"59153102002",0.37,49.1348,-123.124,0.34,0.33,0.42,0.25,0.0937499999999998
"59153102003",0.39,49.1341,-123.1203,0.38,0.33,0.43,0.27,0.0937499999999998
"59153103001",0.37,49.1354,-123.1287,0.55,0.33,0.42,0.35,-0.0104166666666666
"59153103002",0.34,49.1352,-123.1272,0.74,0.33,0.42,0.45,-0.145833333333333
"59153104001",0.26,49.137,-123.1317,0.81,0.33,0.35,0.46,-0.239583333333333
"59153104002",0.27,49.1366,-123.1302,0.46,0.33,0.42,0.3,-0.0625000000000001
"59153104003",0.31,49.1357,-123.1303,0.56,0.33,0.42,0.36,-0.0833333333333334
"59153105001",0.35,49.1348,-123.1337,0.48,0.33,0.35,0.28,0.0416666666666665
"59153105002",0.35,49.1342,-123.1337,0.89,0.33,0.35,0.51,-0.197916666666667
"59153106001",0.39,49.1369,-123.1352,0.97,0.33,0.35,0.56,-0.208333333333333
"59153107001",0.44,49.1396,-123.135,0.98,0.33,0.35,0.57,-0.166666666666667
"59153108001",0.4,49.1432,-123.1318,0.64,0.35,0.35,0.37,0
"59153108003",0.4,49.1418,-123.1348,0.84,0.33,0.35,0.47,-0.104166666666667
"59153108005",0.36,49.1419,-123.1278,0.91,0.35,0.42,0.59,-0.270833333333333
"59153108006",0.35,49.1423,-123.1304,0.8,0.35,0.42,0.51,-0.197916666666667
"59153110001",0.36,49.1504,-123.1316,0.33,0.35,0.35,0.22,0.114583333333333
"59153110002",0.36,49.1503,-123.1303,0.36,0.35,0.42,0.27,0.0625
"59153110003",0.35,49.1503,-123.129,0.33,0.35,0.42,0.25,0.0729166666666665
"59153110004",0.35,49.1494,-123.1284,0.79,0.35,0.42,0.5,-0.1875
"59153110005",0.28,49.1498,-123.1261,0.53,0.35,0.42,0.35,-0.104166666666667
"59153111001",0.49,49.1515,-123.1338,0.65,0.35,0.35,0.38,0.0833333333333335
