,Player,Stage,career_FG_%,career_FT_%,career_3PT_%,Minutes_per_game
231,Bryon Russell,Regular_Season,41.3,77.52,37.6,24.49
232,Buddy Hield,Regular_Season,44.15,86.63,41.06,27.67
233,Byron Mullens,Regular_Season,42.47,82.14,23.53,22.54
234,C.J. McCollum,Playoffs,44.37,77.11,39.86,38.58
235,C.J. McCollum,Regular_Season,45.61,83.96,39.76,35.25
236,C.J. Miles,Playoffs,41.84,86.67,32.28,23.79
237,C.J. Miles,Regular_Season,40.87,81.51,35.29,22.38
238,C.J. Watson,Playoffs,36.29,70.15,31.4,16.75
239,C.J. Watson,Regular_Season,41.91,81.73,38.07,18.41
240,Calbert Cheaney,Playoffs,37.04,50.0,,24.4
241,Calbert Cheaney,Regular_Season,49.06,59.59,28.57,27.62
242,Calvin Booth,Playoffs,40.54,88.89,,13.7
243,Calvin Booth,Regular_Season,46.55,79.79,0.0,16.99
244,Cam Reddish,Regular_Season,38.45,80.16,33.2,26.74
245,Cameron Johnson,Regular_Season,43.46,80.7,38.97,22.02
246,Cameron Payne,Playoffs,26.92,50.0,20.0,6.43
247,Cameron Payne,Regular_Season,43.05,80.49,29.76,17.8
248,Caris LeVert,Playoffs,43.15,72.22,44.68,31.54
249,Caris LeVert,Regular_Season,43.54,71.12,34.69,26.25
250,Carl Landry,Playoffs,50.38,74.45,0.0,21.73
251,Carl Landry,Regular_Season,53.18,79.64,23.08,23.97
252,Carlos Arroyo,Playoffs,39.44,71.43,0.0,11.02
253,Carlos Arroyo,Regular_Season,43.45,80.05,30.45,20.83
254,Carlos Boozer,Playoffs,48.26,72.57,0.0,35.45
255,Carlos Boozer,Regular_Season,52.16,72.61,7.69,30.96
256,Carlos Delfino,Playoffs,37.97,83.33,33.33,18.23
257,Carlos Delfino,Regular_Season,40.53,76.39,36.83,21.38
258,Carmelo Anthony,Playoffs,41.44,82.45,31.64,38.28
259,Carmelo Anthony,Regular_Season,44.82,81.26,34.94,35.68
260,Caron Butler,Playoffs,39.82,83.87,28.32,31.3
261,Caron Butler,Regular_Season,42.23,83.78,35.51,30.78
262,Casey Jacobsen,Regular_Season,39.91,76.96,36.97,20.39
263,Cedi Osman,Playoffs,33.33,25.0,14.29,4.41
264,Cedi Osman,Regular_Season,43.69,71.65,36.45,24.88
265,Chandler Hutchison,Regular_Season,45.93,60.53,28.0,20.33
266,Chandler Parsons,Playoffs,44.44,68.97,38.16,40.65
267,Chandler Parsons,Regular_Season,47.27,70.48,37.01,34.49
268,Channing Frye,Playoffs,46.56,90.0,44.44,18.36
269,Channing Frye,Regular_Season,43.66,82.51,39.03,24.4
270,Charles Oakley,Playoffs,45.26,77.78,33.33,33.4
271,Charles Oakley,Regular_Season,40.04,81.43,27.78,32.9
272,Charlie Bell,Playoffs,39.53,100.0,45.45,21.6
273,Charlie Bell,Regular_Season,41.83,77.78,35.83,27.99
274,Charlie Villanueva,Regular_Season,44.59,78.7,34.71,25.19
275,Charlie Ward,Playoffs,46.43,77.78,36.92,25.0
276,Charlie Ward,Regular_Season,41.7,80.0,39.57,22.64
277,Chase Budinger,Regular_Season,43.5,81.02,36.25,21.54
278,Chauncey Billups,Playoffs,41.27,87.96,36.7,37.06
279,Chauncey Billups,Regular_Season,42.29,89.62,39.78,32.78
280,Cheick Diallo,Regular_Season,60.4,75.19,25.0,12.73
281,Chris Andersen,Playoffs,64.42,68.86,0.0,17.87
282,Chris Andersen,Regular_Season,55.73,68.83,19.23,19.24
283,Chris Anstey,Regular_Season,44.23,78.91,16.67,13.79
284,Chris Bosh,Playoffs,47.33,80.0,38.57,35.18
285,Chris Bosh,Regular_Season,49.76,80.02,30.96,35.93
286,Chris Boucher,Regular_Season,47.16,78.45,32.2,13.2
287,Chris Childs,Playoffs,39.72,86.89,39.51,26.58
288,Chris Childs,Regular_Season,38.26,82.09,30.91,23.55
289,Chris Chiozza,Playoffs,33.33,50.0,31.25,16.15
290,Chris Copeland,Playoffs,41.38,72.73,43.59,8.32
291,Chris Douglas-Roberts,Playoffs,68.75,85.71,50.0,17.42
292,Chris Duhon,Playoffs,30.61,75.86,33.33,20.11
293,Chris Duhon,Regular_Season,39.95,80.96,37.26,27.58
294,Chris Gatling,Regular_Season,45.21,70.22,28.4,21.89
295,Chris Johnson,Regular_Season,37.11,80.95,27.27,12.24
296,Chris Kaman,Playoffs,59.3,76.19,,29.46
297,Chris Kaman,Regular_Season,48.63,74.82,0.0,26.75
298,Chris Mihm,Playoffs,31.82,60.0,,16.25
299,Chris Mihm,Regular_Season,47.09,67.83,33.33,21.6
300,Chris Mullin,Playoffs,47.62,81.82,25.0,10.0
301,Chris Paul,Playoffs,47.79,84.68,36.52,37.27
302,Chris Paul,Regular_Season,47.17,87.57,36.91,34.57
303,Chris Quinn,Regular_Season,40.83,81.03,40.88,14.58
304,Chris Singleton,Regular_Season,37.18,68.18,34.65,21.68
305,Chris Webber,Playoffs,46.19,63.71,21.88,36.13
306,Chris Webber,Regular_Season,46.35,71.6,26.78,37.3
307,Chris Whitney,Playoffs,38.1,100.0,44.44,15.86
308,Chris Whitney,Regular_Season,41.72,86.64,39.27,23.18
309,Chris Wilcox,Regular_Season,54.37,69.84,0.0,25.89
310,Christian Laettner,Playoffs,46.34,78.57,0.0,13.19
311,Christian Laettner,Regular_Season,48.77,82.34,24.53,26.8
312,Christian Wood,Regular_Season,56.69,74.38,38.57,21.36
313,Chuck Hayes,Playoffs,59.18,40.0,0.0,18.42
314,Chuck Hayes,Regular_Season,49.92,60.66,0.0,20.01
315,Chucky Atkins,Playoffs,37.54,80.0,35.78,24.08
316,Chucky Atkins,Regular_Season,41.86,77.01,37.4,26.82
317,Clarence Weatherspoon,Playoffs,41.67,58.33,,17.0
318,Clarence Weatherspoon,Regular_Season,49.05,76.95,,26.83
319,Cliff Robinson,Playoffs,37.32,70.21,33.33,31.71
320,Cliff Robinson,Regular_Season,41.88,71.33,35.81,31.77
321,Clint Capela,Playoffs,61.36,50.63,0.0,22.56
322,Clint Capela,Regular_Season,63.57,53.37,0.0,26.66
323,Coby White,Regular_Season,39.39,79.07,35.37,25.75
324,Cody Martin,Regular_Season,43.0,64.62,23.38,18.81
325,Cody Zeller,Playoffs,55.26,80.95,,19.63
326,Cody Zeller,Regular_Season,52.04,72.47,22.94,23.15
327,Cole Aldrich,Playoffs,66.67,50.0,,12.82
328,Cole Aldrich,Regular_Season,52.33,68.18,,8.56
329,Collin Sexton,Regular_Season,45.05,84.29,39.2,32.3
330,Corey Brewer,Playoffs,39.88,69.39,27.73,22.42
331,Corey Brewer,Regular_Season,42.51,71.3,28.19,23.36
332,Corey Maggette,Playoffs,46.72,91.04,33.33,24.31
333,Corey Maggette,Regular_Season,46.18,82.78,32.01,30.88
334,Corie Blount,Playoffs,48.72,59.09,,17.86
335,Corie Blount,Regular_Season,45.82,64.44,0.0,19.82
336,Corliss Williamson,Playoffs,42.48,78.06,0.0,17.62
337,Corliss Williamson,Regular_Season,48.63,78.26,16.67,22.15
338,Cory Joseph,Playoffs,45.5,76.62,32.5,15.03
339,Cory Joseph,Regular_Season,44.23,76.95,33.53,22.95
340,Courtney Alexander,Regular_Season,38.22,80.82,33.33,20.61
341,Courtney Lee,Playoffs,46.03,89.02,35.29,30.37
342,Courtney Lee,Regular_Season,45.12,85.62,38.9,28.11
343,Craig Smith,Regular_Season,55.63,65.2,4.76,18.75
