"fromId","mean_score","pop_norm","prox_score","scoreCorrection","eff","eff_ravg","pop.y","lat.y","lon.y"
"59152992008",0.0603697862976539,0.14651865008881,0.241066567691404,0.571179782864416,0.906292957914911,NA,549,49.2742,-122.7841
"59152993001",0.0759944045606328,0.0291474245115453,0.317139628459465,0.571179782864416,0.922524133524495,NA,77,49.2771,-122.7897
"59152993002",0.0696999265371609,0.0734103019538188,0.312226283739276,0.571179782864416,0.917915933468293,NA,255,49.2755,-122.7884
"59152993005",0.0689386355909565,0.0858436944937833,0.26719734790358,0.571179782864416,0.915301918823715,NA,305,49.2775,-122.7859
"59152993006",0.0738504456070987,0.01,0.241885772048297,0.571179782864416,0.923922796467491,NA,0,49.2785,-122.7849
"59152993008",0.0811389341182502,0.0112433392539964,0.284331597221179,0.571179782864416,0.924357801687017,NA,5,49.2785,-122.787
"59152994001",0.050857436719533,0.0373534635879218,0.226428122473984,0.571179782864416,0.919026271068182,NA,110,49.2758,-122.7808
"59152994002",0.0509338460174631,0.0224333925399645,0.210945207464934,0.571179782864416,0.920781778602836,NA,50,49.2753,-122.7799
"59152994003",0.0494579776897019,0.0878330373001776,0.208779085064904,0.571179782864416,0.911312257306438,NA,313,49.2758,-122.779
"59152995001",0.15780393372789,0.206696269982238,0.391278148939718,0.571179782864416,0.91376608947963,NA,791,49.2835,-122.7973
"59152995014",0.153923328578399,0.453374777975133,0.381833302215398,0.571179782864416,0.893870122444023,NA,1783,49.2817,-122.7947
"59152995016",0.19295845249637,0.3250621669627,0.384076026901427,0.571179782864416,0.906101020836362,NA,1267,49.2834,-122.7947
"59152995018",0.115233524210617,0.01,0.345430466152324,0.571179782864416,0.926457810779124,NA,0,49.2753,-122.7987
"59152995019",0.137838499936036,0.01,0.399316713593548,0.571179782864416,0.92775699977278,NA,0,49.2812,-122.7966
"59152995020",0.127970916971395,0.410106571936057,0.379761488474978,0.571179782864416,0.895723210018147,NA,1609,49.2822,-122.7975
