id,subdiv,pop,lat,lon
59150069004,North Vancouver,84,49.3217,-123.1105
59150069005,North Vancouver,237,49.3248,-123.1119
59150070001,North Vancouver,23,49.321,-123.1158
59150070002,North Vancouver,23,49.321,-123.1148
59150070003,North Vancouver,19,49.321,-123.1137
59150070004,North Vancouver,20,49.321,-123.1127
59150070005,North Vancouver,245,49.32,-123.1143
59150070006,North Vancouver,19,49.3192,-123.1127
59150070007,North Vancouver,22,49.3193,-123.1148
59150070008,North Vancouver,29,49.3193,-123.1158
59150070009,North Vancouver,35,49.3185,-123.1164
59150071001,North Vancouver,37,49.3208,-123.119
59150071002,North Vancouver,298,49.3195,-123.114
59150071003,North Vancouver,37,49.3188,-123.1191
59150071004,North Vancouver,35,49.3184,-123.1133
59150071012,North Vancouver,5,49.3207,-123.1064
59150071013,North Vancouver,0,49.3216,-123.1064
59150071020,North Vancouver,30,49.3184,-123.1101
59150071021,North Vancouver,24,49.3191,-123.1101
59150071023,North Vancouver,0,49.3199,-123.1037
59150071026,North Vancouver,0,49.3188,-123.1065
59150071031,North Vancouver,0,49.3172,-123.116
59150071032,North Vancouver,5,49.3171,-123.111
59150071033,North Vancouver,0,49.3164,-123.1172
59150071034,North Vancouver,0,49.3161,-123.1111
59150071035,North Vancouver,0,49.3138,-123.1141
59150072001,North Vancouver,51,49.3278,-123.1039
59150072002,North Vancouver,160,49.3266,-123.1042
59150072003,North Vancouver,102,49.327,-123.1063
59150072004,North Vancouver,375,49.3249,-123.1053
59150072005,North Vancouver,20,49.326,-123.1028
59150072006,North Vancouver,50,49.3243,-123.1035
59150072007,North Vancouver,5,49.3234,-123.1035
59150072008,North Vancouver,0,49.3225,-123.1036
59150072011,North Vancouver,95,49.3234,-123.1092
59150072012,North Vancouver,170,49.3229,-123.1064
59150073001,North Vancouver,5,49.3292,-123.102
59150073002,North Vancouver,176,49.3277,-123.0997
59150073003,North Vancouver,435,49.3236,-123.0971
59150073004,North Vancouver,61,49.3275,-123.1015
59150073005,North Vancouver,31,49.3261,-123.1013
59150073006,North Vancouver,38,49.3252,-123.1013
59150073007,North Vancouver,260,49.3242,-123.1015
59150074001,North Vancouver,512,49.3252,-123.0963
59150074002,North Vancouver,233,49.3242,-123.0968
59150075003,North Vancouver,29,49.3302,-123.0935
59150075004,North Vancouver,45,49.3302,-123.0926
59150075005,North Vancouver,40,49.329,-123.093
59150075006,North Vancouver,70,49.328,-123.0941
59150075007,North Vancouver,59,49.327,-123.0944
59150075008,North Vancouver,54,49.327,-123.0966
59150075009,North Vancouver,67,49.328,-123.0966
59150075010,North Vancouver,44,49.3261,-123.0962
59150075011,North Vancouver,0,49.3298,-123.096
59150076001,North Vancouver,106,49.3309,-123.0864
59150076002,North Vancouver,179,49.3294,-123.0866
59150076006,North Vancouver,0,49.3322,-123.0892
59150076007,North Vancouver,239,49.328,-123.0912
59150077001,North Vancouver,120,49.3279,-123.0876
59150077002,North Vancouver,77,49.3269,-123.0881
59150077003,North Vancouver,31,49.326,-123.0888
59150077005,North Vancouver,52,49.3247,-123.0894
59150077006,North Vancouver,79,49.3255,-123.0904
59150077007,North Vancouver,27,49.3257,-123.0881
59150077008,North Vancouver,20,49.3266,-123.0866
59150078005,North Vancouver,73,49.3195,-123.0877
59150078007,North Vancouver,570,49.3239,-123.0862
59150078008,North Vancouver,0,49.3194,-123.0909
59150078009,North Vancouver,0,49.3201,-123.0897
59150079001,North Vancouver,187,49.3227,-123.0832
59150079002,North Vancouver,111,49.3217,-123.0832
59150079003,North Vancouver,150,49.3227,-123.0801
59150079004,North Vancouver,127,49.3237,-123.0801
59150080003,North Vancouver,37,49.3185,-123.0821
59150080004,North Vancouver,149,49.3194,-123.0833
59150080005,North Vancouver,138,49.3205,-123.0833
59150081001,North Vancouver,130,49.3216,-123.0801
59150081005,North Vancouver,150,49.3185,-123.0786
59150081006,North Vancouver,0,49.318,-123.0791
59150081007,North Vancouver,157,49.3193,-123.0778
59150081008,North Vancouver,0,49.3198,-123.0762
59150081009,North Vancouver,53,49.3194,-123.0809
59150081010,North Vancouver,0,49.3198,-123.0802
59150081011,North Vancouver,144,49.3205,-123.0802
59150082001,North Vancouver,362,49.3216,-123.077
59150082002,North Vancouver,393,49.3206,-123.0771
59150083001,North Vancouver,264,49.3237,-123.077
59150083002,North Vancouver,269,49.3226,-123.077
59150084001,North Vancouver,432,49.3226,-123.0739
59150084002,North Vancouver,512,49.3216,-123.0739
59150085001,North Vancouver,397,49.3236,-123.0739
59150085002,North Vancouver,486,49.3231,-123.0715
59150086002,North Vancouver,382,49.3246,-123.0707
59150086003,North Vancouver,89,49.3245,-123.075
59150086004,North Vancouver,252,49.3247,-123.0735
59150087001,North Vancouver,521,49.3231,-123.07
59150088001,North Vancouver,508,49.3225,-123.0676
59150089001,North Vancouver,328,49.3236,-123.0676
59150089002,North Vancouver,142,49.3235,-123.0645
59150089003,North Vancouver,130,49.3225,-123.0646
59150090001,North Vancouver,170,49.3257,-123.0676
59150090002,North Vancouver,213,49.3246,-123.0676
59150090003,North Vancouver,93,49.3246,-123.0645
59150090004,North Vancouver,103,49.3256,-123.0645
59150091001,North Vancouver,314,49.3267,-123.0706
59150091002,North Vancouver,353,49.3257,-123.0707
59150092001,North Vancouver,289,49.3278,-123.0738
59150092002,North Vancouver,184,49.3277,-123.0706
59150093001,North Vancouver,289,49.3278,-123.0769
59150093002,North Vancouver,343,49.3268,-123.0738
59150094001,North Vancouver,163,49.3258,-123.0769
59150094002,North Vancouver,369,49.3257,-123.0738
59150094003,North Vancouver,161,49.3247,-123.077
59150095001,North Vancouver,131,49.3289,-123.08
59150095002,North Vancouver,111,49.3279,-123.08
59150095003,North Vancouver,88,49.3268,-123.08
59150095004,North Vancouver,63,49.3258,-123.08
59150095005,North Vancouver,83,49.3247,-123.08
59150096001,North Vancouver,95,49.3309,-123.083
59150096002,North Vancouver,40,49.33,-123.0837
59150096003,North Vancouver,0,49.3292,-123.0829
59150096004,North Vancouver,135,49.3298,-123.0799
59150096005,North Vancouver,116,49.3308,-123.0799
59150096006,North Vancouver,98,49.3308,-123.0768
59150096007,North Vancouver,108,49.3298,-123.0769
59150097001,North Vancouver,32,49.3354,-123.083
59150097002,North Vancouver,81,49.3347,-123.083
59150097003,North Vancouver,65,49.3338,-123.083
59150097004,North Vancouver,105,49.3328,-123.083
59150097007,North Vancouver,87,49.3328,-123.0799
59150097008,North Vancouver,149,49.3337,-123.0799
59150097009,North Vancouver,124,49.3347,-123.0799
59150097010,North Vancouver,65,49.3354,-123.0798
59150098003,North Vancouver,19,49.3318,-123.0863
59150098004,North Vancouver,438,49.3337,-123.0863
59150099001,North Vancouver,81,49.3354,-123.0863
59150099004,North Vancouver,502,49.3339,-123.0898
59150100001,North Vancouver,31,49.3377,-123.0895
59150100002,North Vancouver,218,49.3361,-123.0895
59150100003,North Vancouver,128,49.3361,-123.0863
59150100004,North Vancouver,40,49.3375,-123.0867
59150100005,North Vancouver,87,49.337,-123.0838
59150100006,North Vancouver,83,49.3361,-123.0829
59150100007,North Vancouver,37,49.3379,-123.0838
59150101001,North Vancouver,28,49.3422,-123.0853
59150101002,North Vancouver,295,49.3405,-123.0837
59150101003,North Vancouver,100,49.3388,-123.0822
59150101004,North Vancouver,24,49.3391,-123.0875
59150102002,North Vancouver,33,49.3406,-123.0887
59150102003,North Vancouver,259,49.3404,-123.0899
59150102004,North Vancouver,69,49.3379,-123.092
59150103001,North Vancouver,21,49.345,-123.0902
59150103003,North Vancouver,150,49.3394,-123.096
59150103004,North Vancouver,38,49.337,-123.097
59150103005,North Vancouver,64,49.3399,-123.0968
59150103006,North Vancouver,48,49.3406,-123.0964
59150103008,North Vancouver,349,49.3449,-123.0898
59150104001,North Vancouver,72,49.3466,-123.0914
59150104002,North Vancouver,58,49.3458,-123.0922
59150104003,North Vancouver,62,49.3451,-123.0925
59150104004,North Vancouver,43,49.3444,-123.0923
59150104005,North Vancouver,94,49.3438,-123.0931
59150104006,North Vancouver,76,49.3431,-123.0939
59150104007,North Vancouver,82,49.3425,-123.0944
59150104008,North Vancouver,52,49.342,-123.0954
59150105001,North Vancouver,27,49.3441,-123.0996
59150105002,North Vancouver,29,49.3434,-123.0999
59150105003,North Vancouver,33,49.3425,-123.1001
59150105004,North Vancouver,35,49.3426,-123.0978
59150105005,North Vancouver,39,49.3419,-123.098
59150105006,North Vancouver,18,49.3412,-123.0982
59150105007,North Vancouver,32,49.3417,-123.0998
59150105008,North Vancouver,45,49.3433,-123.0975
59150105009,North Vancouver,57,49.344,-123.0972
