fromId,type,avg_time,toId,sd_time,time_group
59150384001,museum,22.41026,9348,0.88013,15-30
59150384001,theatre/performance and concert hall,22.41026,6954,0.88013,15-30
59150384003,gallery,28.38462,5638,2.266639,15-30
59150384003,library or archives,17,8405,0.4268328,15-30
59150384003,museum,25.28205,9348,0.9986496,15-30
59150384003,theatre/performance and concert hall,25.28205,6954,0.9986496,15-30
59150384004,gallery,25.94872,5638,2.470337,15-30
59150384004,library or archives,12,8405,0.4268328,<15
59150384004,museum,21.38462,9348,0.9628736,15-30
59150384004,theatre/performance and concert hall,21.38462,6954,0.9628736,15-30
59150384005,gallery,24.66667,5638,2.409775,15-30
59150384005,library or archives,11,8405,0.4268328,<15
59150384005,museum,19.94872,9348,0.971941,15-30
59150384005,theatre/performance and concert hall,19.94872,6954,0.971941,15-30
59150385001,gallery,30.25641,5638,2.148659,30-45
59150385001,library or archives,20.66667,8405,1.221158,15-30
59150385001,museum,27.28205,9348,0.6468026,15-30
59150385001,theatre/performance and concert hall,27.28205,6954,0.6468026,15-30
59150385002,gallery,30.10256,5638,2.186019,30-45
59150385002,library or archives,19,8405,0.4268328,15-30
59150385002,museum,25.79487,9348,0.8328609,15-30
59150385002,theatre/performance and concert hall,25.79487,6954,0.8328609,15-30
59150385003,gallery,29.84615,5638,2.121797,45-60
59150385003,library or archives,17,8405,0.4268328,15-30
59150385003,museum,24.07692,9348,0.8393172,15-30
59150385003,theatre/performance and concert hall,24.07692,6954,0.8393172,15-30
59150385004,gallery,30.76923,5638,1.72385,30-45
59150385004,library or archives,21.4359,8405,0.6803587,15-30
59150385004,museum,25.79487,9348,0.9781693,15-30
59150385004,theatre/performance and concert hall,25.79487,6954,0.9781693,15-30
59150386001,gallery,28.66667,5638,2.286497,15-30
59150386001,library or archives,15,8405,0.4268328,15-30
59150386001,museum,23.71795,9348,0.9444775,15-30
59150386001,theatre/performance and concert hall,23.71795,6954,0.9444775,15-30
59150386002,gallery,27.05128,5638,2.372526,15-30
59150386002,library or archives,12,8405,0.4268328,<15
59150386002,museum,20.48718,9348,1.022685,15-30
59150386002,theatre/performance and concert hall,20.48718,6954,1.022685,15-30
59150386003,gallery,23.35897,5638,2.170219,15-30
59150386003,library or archives,8,8405,0.4268328,<15
59150386003,museum,17.41026,9348,0.9925498,15-30
59150386003,theatre/performance and concert hall,17.41026,6954,0.9925498,15-30
59150386004,gallery,27.79487,5638,2.386139,15-30
59150386004,library or archives,12,8405,0.4268328,<15
59150386004,museum,20.28205,9348,0.7591102,15-30
59150386004,theatre/performance and concert hall,20.28205,6954,0.7591102,15-30
59150387001,gallery,29.33333,5638,2.119252,45-60
59150387001,library or archives,15,8405,0.4268328,15-30
59150387001,museum,22.17949,9348,0.7564388,15-30
59150387001,theatre/performance and concert hall,22.17949,6954,0.7564388,15-30
59150387002,gallery,29.74359,5638,1.901771,45-60
59150387002,library or archives,18,8405,0.4268328,15-30
59150387002,museum,22.38462,9348,1.041643,15-30
59150387002,theatre/performance and concert hall,22.38462,6954,1.041643,15-30
59150387003,gallery,28.84615,5638,2.058851,15-30
59150387003,library or archives,17.41026,8405,0.7510676,15-30
59150387003,museum,21.10256,9348,1.11909,15-30
59150387003,theatre/performance and concert hall,21.10256,6954,1.11909,15-30
59150388003,gallery,27.64103,5638,2.454718,15-30
59150388003,library or archives,5,8405,0.4268328,<15
59150388003,museum,22.28205,9348,0.8568215,15-30
59150388003,theatre/performance and concert hall,22.28205,6954,0.8568215,15-30
59150388005,gallery,31.28205,5638,2.258886,30-45
59150388005,library or archives,6,8405,0.4268328,<15
59150388005,museum,27.41026,9348,0.88013,15-30
59150388005,theatre/performance and concert hall,27.41026,6954,0.88013,15-30
59150388006,gallery,32.5641,5638,2.074848,30-45
59150388006,library or archives,8,8405,0.4268328,<15
59150388006,museum,28.92308,9348,0.7740738,15-30
59150388006,theatre/performance and concert hall,28.92308,6954,0.7740738,15-30
59150388009,gallery,30.82051,5638,2.162744,30-45
59150388009,library or archives,9,8405,0.4268328,<15
59150388009,museum,23.71795,9348,1.024662,15-30
59150388009,theatre/performance and concert hall,23.71795,6954,1.024662,15-30
59150389001,gallery,30.33333,5638,1.964599,30-45
59150389001,library or archives,16,8405,0.4268328,15-30
59150389001,museum,22.74359,9348,1.018718,15-30
59150389001,theatre/performance and concert hall,22.74359,6954,1.018718,15-30
59150389002,gallery,29.12821,5638,2.0542570000000002,45-60
59150389002,library or archives,17.71795,8405,0.5595448,15-30
59150389002,museum,21.4359,9348,1.046168,15-30
59150389002,theatre/performance and concert hall,21.4359,6954,1.046168,15-30
59150389003,gallery,31.5641,5638,1.957373,30-45
59150389003,library or archives,14,8405,0.4268328,<15
59150389003,museum,24.71795,9348,0.9444775,15-30
59150389003,theatre/performance and concert hall,24.71795,6954,0.9444775,15-30
59150389004,gallery,32.69231,5638,1.907794,30-45
59150389004,library or archives,13,8405,0.4268328,<15
59150389004,museum,26.23077,9348,0.9586597,15-30
59150389004,theatre/performance and concert hall,26.23077,6954,0.9586597,15-30
59150389005,gallery,30.69231,5638,2.041076,30-45
59150389005,library or archives,16,8405,0.4268328,15-30
59150389005,museum,24.76923,9348,1.037749,15-30
59150389005,theatre/performance and concert hall,24.76923,6954,1.037749,15-30
59150390001,gallery,33.48718,5638,1.636295,30-45
59150390001,library or archives,10,8405,0.4268328,<15
59150390001,museum,29.76923,9348,0.7056739,45-60
59150390001,theatre/performance and concert hall,29.76923,6954,0.7056739,45-60
59150390002,gallery,34.64103,2207,1.884664,30-45
59150390002,library or archives,21.33333,8405,1.43881,15-30
59150390002,museum,31.76923,9348,0.9308044,30-45
59150390002,theatre/performance and concert hall,31.76923,6954,0.9308044,30-45
59150390003,gallery,32.61538,5638,1.844128,30-45
59150390003,library or archives,15,8405,0.4268328,15-30
59150390003,museum,27.66667,9348,0.9271726,15-30
59150390003,theatre/performance and concert hall,27.66667,6954,0.9271726,15-30
59150390004,gallery,32.74359,2207,1.772865,30-45
59150390004,library or archives,19.35897,8405,1.158201,15-30
59150390004,museum,30.87179,9348,0.9227957,30-45
59150390004,theatre/performance and concert hall,30.87179,6954,0.9227957,30-45
59150391001,gallery,29.58974,5638,2.086523,45-60
59150391001,library or archives,18.87179,5134,1.260315,15-30
59150391001,museum,23.92308,9348,1.060899,15-30
59150391001,theatre/performance and concert hall,23.92308,6954,1.060899,15-30
59150391002,gallery,31.4359,5638,2.381893,30-45
59150391002,library or archives,16,8405,0.4268328,15-30
59150391002,museum,27.05128,9348,1.190947,15-30
59150391002,theatre/performance and concert hall,27.05128,6954,1.190947,15-30
59150391003,gallery,29.51282,5638,2.222751,45-60
59150391003,library or archives,18.07692,5134,1.285232,15-30
59150391003,museum,24.53846,9348,1.188678,15-30
59150391003,theatre/performance and concert hall,24.53846,6954,1.188678,15-30
59150392001,gallery,30.97436,5638,2.528648,30-45
59150392001,library or archives,18.87179,5134,1.260315,15-30
59150392001,museum,26.94872,9348,1.212842,15-30
59150392001,theatre/performance and concert hall,26.94872,6954,1.212842,15-30
59150392002,gallery,32.87179,5638,2.451417,30-45
59150392002,library or archives,20.87179,5134,1.260315,15-30
59150392002,museum,28.94872,9348,1.212842,15-30
59150392002,theatre/performance and concert hall,28.94872,6954,1.212842,15-30
59150392003,gallery,31.23077,5638,2.157747,30-45
59150392003,library or archives,19.58974,8405,1.312249,15-30
59150392003,museum,29.15385,9348,1.38675,45-60
59150392003,theatre/performance and concert hall,29.15385,6954,1.38675,45-60
59150392004,gallery,33.17949,5638,2.063107,30-45
59150392004,library or archives,20.17949,3973,1.048101,15-30
59150392004,museum,31.28205,9348,1.394514,30-45
59150392004,theatre/performance and concert hall,31.28205,6954,1.394514,30-45
59150392005,gallery,32.23077,5638,2.057867,30-45
59150392005,library or archives,19.87179,8405,1.398862,15-30
59150392005,museum,30.05128,9348,1.276276,30-45
59150392005,theatre/performance and concert hall,30.05128,6954,1.276276,30-45
59150393001,gallery,33.82051,5638,2.234559,30-45
59150393001,library or archives,22.38462,5134,1.479961,15-30
59150393001,museum,29.71795,9348,1.168641,45-60
59150393001,theatre/performance and concert hall,29.71795,6954,1.168641,45-60
59150393002,gallery,34.82051,5638,1.917671,30-45
59150393002,library or archives,22.53846,3973,1.047457,15-30
59150393002,museum,31.02564,9348,1.087904,30-45
59150393002,theatre/performance and concert hall,31.02564,6954,1.087904,30-45
59150393003,gallery,33.4359,2207,1.832382,30-45
59150393003,library or archives,19.58974,3973,1.371092,15-30
59150393003,museum,32.51282,9348,1.166908,30-45
59150393003,theatre/performance and concert hall,32.51282,6954,1.166908,30-45
59150393004,gallery,33.20513,2207,1.935533,30-45
59150393004,library or archives,20,8405,1.486784,15-30
59150393004,museum,31.82051,9348,1.274689,30-45
59150393004,theatre/performance and concert hall,31.82051,6954,1.274689,30-45
59150394001,gallery,33.97436,3140,1.870648,30-45
59150394001,library or archives,20.69231,3973,1.52443,15-30
59150394001,museum,32.92308,9348,0.928627,30-45
59150394001,theatre/performance and concert hall,32.92308,6954,0.928627,30-45
