DAUID,DBPOP,lat,lon
59150100,87,49.336999999999996,-123.0838
59150100,83,49.3361,-123.0829
59150100,37,49.3379,-123.0838
59150101,28,49.3422,-123.0853
59150101,295,49.3405,-123.0837
59150101,100,49.3388,-123.0822
59150101,24,49.3391,-123.0875
59150102,33,49.3406,-123.0887
59150102,259,49.3404,-123.0899
59150102,69,49.3379,-123.09200000000001
59150103,21,49.345,-123.0902
59150103,150,49.3394,-123.096
59150103,38,49.336999999999996,-123.09700000000001
59150103,64,49.3399,-123.0968
59150103,48,49.3406,-123.0964
59150103,349,49.3449,-123.0898
59150104,72,49.3466,-123.0914
59150104,58,49.3458,-123.0922
59150104,62,49.3451,-123.0925
59150104,43,49.3444,-123.0923
59150104,94,49.3438,-123.0931
59150104,76,49.3431,-123.0939
59150104,82,49.3425,-123.0944
59150104,52,49.342,-123.0954
59150105,27,49.3441,-123.0996
59150105,29,49.3434,-123.0999
59150105,33,49.3425,-123.1001
59150105,35,49.3426,-123.0978
59150105,39,49.3419,-123.098
59150105,18,49.3412,-123.0982
59150105,32,49.3417,-123.0998
59150105,45,49.3433,-123.0975
59150105,57,49.343999999999994,-123.0972
59150105,33,49.3448,-123.0953
59150106,20,49.3506,-123.09700000000001
59150106,86,49.3421,-123.1037
59150106,32,49.3398,-123.1061
59150106,58,49.3409,-123.1034
59150106,38,49.3404,-123.1008
59150106,646,49.3457,-123.0988
59150107,296,49.3452,-123.1078
59150107,100,49.3442,-123.1051
59150107,67,49.3426,-123.1044
59150108,326,49.3437,-123.109
59150109,414,49.3415,-123.1113
59150109,29,49.3402,-123.1122
59150109,29,49.3414,-123.1092
59150109,61,49.3404,-123.1087
59150109,36,49.3397,-123.1085
59150109,17,49.3404,-123.10700000000001
59150110,54,49.3388,-123.1152
59150110,66,49.3356,-123.1124
59150110,415,49.338,-123.1117
59150111,251,49.3342,-123.1144
59150111,40,49.3334,-123.111
59150111,91,49.3338,-123.1104
59150111,153,49.3363,-123.117
59150112,0,49.339,-123.1029
59150112,0,49.3384,-123.1027
59150112,0,49.3381,-123.1033
59150112,0,49.3376,-123.1028
59150112,37,49.3381,-123.1019
59150112,10,49.336999999999996,-123.1019
59150112,101,49.3357,-123.1021
59150112,10,49.3361,-123.1019
59150112,69,49.3355,-123.1
59150112,23,49.333999999999996,-123.0978
59150112,16,49.3371,-123.1036
59150112,15,49.3333,-123.1062
59150112,448,49.3353,-123.1047
59150113,27,49.3289,-123.1151
59150113,808,49.3285,-123.1135
59150114,36,49.332,-123.1116
59150114,48,49.3315,-123.1117
59150114,91,49.3315,-123.1089
59150114,72,49.3305,-123.1117
59150114,75,49.3293,-123.1118
59150114,126,49.3289,-123.11399999999999
59150114,82,49.3281,-123.1117
59150115,71,49.3305,-123.109
59150115,0,49.3282,-123.109
59150115,85,49.327,-123.1089
59150115,67,49.3282,-123.1062
59150115,164,49.3293,-123.1076
59150116,91,49.3314,-123.1061
59150116,70,49.3305,-123.1062
59150116,85,49.3304,-123.1034
59150116,15,49.3314,-123.1034
59150116,104,49.3317,-123.09899999999999
59150116,15,49.3315,-123.0927
59150116,23,49.3292,-123.1026
59150116,46,49.3293,-123.1039
59150117,26,49.3389,-123.1007
59150117,0,49.3383,-123.101
59150117,0,49.338,-123.1005
59150117,43,49.338,-123.0997
59150117,5,49.3372,-123.1007
59150117,99,49.3379,-123.0987
59150117,50,49.336000000000006,-123.0975
59150117,27,49.3362,-123.0965
59150117,68,49.3346,-123.0934
59150117,29,49.3348,-123.0959
59150117,66,49.3339,-123.0963
59150117,68,49.3357,-123.0987
59150118,85,49.3448,-123.1201
59150118,48,49.3438,-123.1218
59150118,519,49.3456,-123.1215
59150119,297,49.3516,-123.11
59150119,98,49.3506,-123.1092
59150119,299,49.3483,-123.1138
59150119,0,49.3492,-123.1159
59150120,545,49.348,-123.1051
