id,lat,lon,type,name,city,city_id
7967,..,..,theatre/performance and concert hall,Royal Principal Ballet Academy Ltd,New Westminster,5915029
8095,49.2009132,-122.9278272,museum,Samson V Maritime Museum,New Westminster,5915029
8096,49.19955079,-122.9117624,museum,Samson V Museum,New Westminster,5915029
8119,49.283183,-123.114585,gallery,Satellite Gallery,Vancouver,5915022
8163,49.273743,-123.103652,museum,Science World At Telus World of Science,Vancouver,5915022
8165,49.277065,-123.125711,theatre/performance and concert hall,Scotiabank Dance Centre - Faris Family Studio,Vancouver,5915022
8182,49.27113215,-123.1448866,museum,Seaforth Highlanders of Canada Regimental Museum And Archives,Vancouver,5915022
8202,49.035002,-122.801187,library or archives,Semiahmoo Library,Surrey,5915004
8216,49.32698259,-122.9502844,gallery,Seymour Art Gallery,North Vancouver,5915046
8223,49.21725034,-122.9100848,theatre/performance and concert hall,Shadows & Dreams Theatre Company,New Westminster,5915029
8277,49.32737605,-123.1621091,miscellaneous,Silk Purse Arts Centre,West Vancouver,5915055
8278,49.21622673,-122.9228111,artist,Silvana Mcnulty Garden Gals,New Westminster,5915029
8286,49.2768784,-122.8667274,gallery,Simon Fraser Gallery,Port Moody,5915043
8288,49.2768784,-122.8667274,museum,Simon Fraser University Museum of Archaeology & Ethnology,Port Moody,5915043
8332,49.280978,-123.106127,gallery,Skwachàys Lodge Gallery,Vancouver,5915022
8371,..,..,library or archives,Société Historique Francophone De La Colombie-Britannique,Vancouver,5915022
8405,49.2295,-123.0903,library or archives,South Hill,Vancouver,5915022
8440,49.21692135,-122.9191299,artist,Spencer Goring,New Westminster,5915029
8444,49.2837331,-123.105348,gallery,Spirit Wrestler Gallery,Vancouver,5915022
8476,49.2630518,-123.1765215,theatre/performance and concert hall,St James Community Square,Vancouver,5915022
8553,49.2762481,-123.1430717,museum,St. Roch National Historic Site C/O Vancouver Maritime Museum,Vancouver,5915022
8565,49.0876119,-122.5894912,theatre/performance and concert hall,Stagecoach Theatre Arts School,Langley,5915001
8570,49.294408,-123.137914,museum,Stanley Park Nature House,Vancouver,5915022
8613,49.125177,-123.178441,library or archives,Steveston Branch,Richmond,5915015
8614,49.1253077,-123.182869,museum,Steveston Museum And Visitor Centre,Richmond,5915015
8653,49.280215,-123.091958,library or archives,Strathcona Branch,Vancouver,5915022
8658,49.136445,-122.884575,library or archives,Strawberry Hill,Surrey,5915004
8676,49.16239448,-122.8420413,theatre/performance and concert hall,Studio Theatre At Surrey Arts Centre,Surrey,5915004
8700,49.279234,-123.098127,gallery,Sum Gallery,Vancouver,5915022
8717,49.16239467,-122.8421785,gallery,Surrey Art Gallery,Surrey,5915004
8718,49.13005476,-122.7128784,theatre/performance and concert hall,Surrey Little Theatre,Surrey,5915004
8719,49.1049308,-122.7318198,museum,Surrey Museum & Archives,Surrey,5915004
8721,49.21822879,-122.9856531,artist,Susan Mccallum,Burnaby,5915025
8746,49.28073295,-123.0008875,art or cultural centre,Synthesis Consulting Ltd,Burnaby,5915025
8777,49.2841655,-123.1119735,gallery,Teck Gallery,Vancouver,5915022
8808,49.18945071,-122.9349707,artist,Terry Erickson,New Westminster,5915029
8809,49.260305,-122.778532,library or archives,Terry Fox Library,Port Coquitlam,5915039
8811,49.254571,-123.107211,library or archives,Terry Salman Branch,Vancouver,5915022
8911,49.219156,-122.5983229,theatre/performance and concert hall,The Act Arts Centre & Theatre,Maple Ridge,5915075
8913,49.2804859,-123.1015866,museum,The Apartment,Vancouver,5915022
8915,49.20227237,-122.9105812,gallery,The Art of Law Gallery,New Westminster,5915029
8922,49.21419488,-122.9031079,theatre/performance and concert hall,The Bernie Legge Theatre,New Westminster,5915029
8946,49.16684947,-122.5811598,gallery,The Fort Gallery,Langley,5915001
8963,49.284153,-123.099046,theatre/performance and concert hall,The Ironworks Studio,Vancouver,5915022
8976,49.21649647,-122.9852237,theatre/performance and concert hall,The Michael J Fox Theatre Society,Burnaby,5915025
8982,49.20341367,-122.9069978,artist,The Mojo Stars,New Westminster,5915029
8997,49.310375,-123.0805596,gallery,The Polygon Gallery,North Vancouver,5915051
9013,49.20713369,-122.9119034,museum,The Royal Westminster Regiment Museum,New Westminster,5915029
9118,49.2800125,-123.1224555,theatre/performance and concert hall,Tom Lee Music Recital Hall,Vancouver,5915022
9122,49.281898,-123.000644,library or archives,Tommy Douglas Branch,Burnaby,5915025
9123,49.21875996,-122.95235,library or archives,Tommy Douglas Library,Burnaby,5915025
9153,49.267975,-123.139461,gallery,Tracey Lawrence Gallery,Vancouver,5915022
9171,49.2839469,-123.1010921,gallery,Trench Gallery,Vancouver,5915022
9181,49.274169,-123.09379,museum,Trillium North Park,Vancouver,5915022
9194,49.026996,-123.068683,library or archives,Tsawwassen Library,Delta,5915011
9208,49.06243557,-122.5021659,theatre/performance and concert hall,Twilight Drive-In Theatre Ltd,Langley,5915001
9218,49.2538228,-123.2473213,museum,UBC Botanical Garden,Greater Vancouver A,5915020
9219,49.26907,-123.259174,museum,UBC Museum of Anthropology,Greater Vancouver A,5915020
9244,49.277482,-123.1477655,museum,Underwater Archaeological Society of British Columbia,Vancouver,5915022
9252,49.280103,-123.098813,museum,Unit/Pitt Projects,Vancouver,5915022
9255,49.2301609,-123.1260872,library or archives,United Church of Canada B.C. Conference Archives,Vancouver,5915022
9269,49.2645689,-123.2476074,museum,University of Bc: Charles Woodward Memorial Room,Greater Vancouver A,5915020
9270,49.26761935,-123.252761,library or archives,University of British Columbia: Rare Books And Special Collections,Greater Vancouver A,5915020
9297,49.2666423,-123.1388698,museum,Uno Langmann Limited Fine Arts,Vancouver,5915022
9316,49.21416596,-122.9031593,theatre/performance and concert hall,Vagabond Theatre/Fisheries Exibition Building,New Westminster,5915029
9324,49.19867539,-122.9205677,artist,Valerie Mcrae,New Westminster,5915029
9331,49.23107737,-122.898803,gallery,Van Dop Gallery,New Westminster,5915029
9332,49.238472,-123.128627,museum,Van Dusen Botanical Garden,Vancouver,5915022
9336,49.276974,-123.124732,theatre/performance and concert hall,Vancity Theatre,Vancouver,5915022
9337,49.278453,-123.098757,museum,Vancouver Access Artist Run Centre,Vancouver,5915022
9339,49.283158,-123.120932,gallery,Vancouver Art Gallery,Vancouver,5915022
9340,49.286205,-123.124298,gallery,Vancouver Art Gallery Offsite,Vancouver,5915022
9341,49.268419,-123.110397,museum,Vancouver Biennale,Vancouver,5915022
9342,49.278238,-123.121183,gallery,Vancouver Contemporary Art Gallery,Vancouver,5915022
9344,49.276676,-123.065816,theatre/performance and concert hall,Vancouver East Cultural Centre - Vancity Culture Lab,Vancouver,5915022
9348,49.233442,-123.126013,museum,Vancouver Holocaust Education Centre,Vancouver,5915022
9353,..,..,museum,Vancouver Island University Museum of Natural History,Vancouver,5915022
9355,49.277465,-123.147587,museum,Vancouver Maritime Museum,Vancouver,5915022
9356,49.2949211,-123.1485038,museum,Vancouver Naval Museum,Vancouver,5915022
9357,49.2808,-123.112328,theatre/performance and concert hall,Vancouver Playhouse Theatre,Vancouver,5915022
9359,49.282247,-123.0987999,museum,Vancouver Police Museum,Vancouver,5915022
