"fromId","avg_time_to_allpoi","sd_time_to_allpoi","avg_sd_time_to_uniquepoi","n_accessible_poi"
"59150918010",64.7323605421397,23.0617341680223,3.11320143716796,378
"59150918011",64.4677982400043,23.1273246321741,3.1472481613767,378
"59150919005",68.6918661866302,22.9940498934276,2.94402826174717,376
"59150919008",67.5300688968494,22.8771626727831,2.95464450402191,377
"59150919009",67.2928812100949,22.917965943993,3.02513783762076,377
"59150920001",65.546899012031,23.6830577124585,3.00963324653437,378
"59150920002",67.1576154765711,23.4664699980328,3.07447160041737,377
"59150920003",67.5624862766132,23.3706289337398,2.93146300991617,377
"59150920004",67.7059144965884,23.2546799434778,2.88742205608332,377
"59150920005",67.8042790906264,23.1765321387286,2.91251651560962,377
"59150922001",65.1843813813337,24.2259016265578,2.59873183177756,380
"59150922002",65.3668325672962,24.1947430093623,2.82484839682606,380
"59150922003",64.7604055818873,24.1356475843448,2.9122755297489,380
"59150922004",64.6711301853909,24.142058541871,2.64818216855338,380
"59150923001",65.1272775685169,24.4152798407648,2.66461756653817,378
"59150923002",65.7870024013564,24.2951390566683,2.72375227133452,377
"59150923003",66.3213952063822,24.4289019222627,2.81822108230476,379
"59150923004",66.0350361137266,24.243371490502,3.12185303963447,379
"59150923005",64.3107234480617,24.2072319441664,2.67600820175513,380
"59150923006",63.1703510565267,24.2962127958292,2.65047027134866,381
"59150924001",62.5186977658544,24.7886328166315,2.65100412898427,381
"59150924002",63.7979013060027,24.542926862596,2.65849756187194,379
"59150924003",61.6766601967261,24.3289967363477,2.62079793530381,381
"59150924004",60.1239810639311,24.5350774754053,2.7056522681539,382
"59150925002",62.8083498981976,24.9007154485459,2.68207561271273,381
"59150925003",60.4463594608124,24.3747455397293,2.77005423656709,381
"59150925004",61.6411990973399,24.4532835019105,2.64744466059611,381
"59150925005",63.3463581113832,24.6808744780145,2.65349692060614,379
"59150926001",63.3834453649271,24.3861325639445,2.65747272129012,381
"59150926002",60.070286943522,24.3497651722327,2.74530636600426,381
"59150926003",60.0824243216137,24.4934264585602,2.74296672531943,382
"59150926004",61.9734822065238,24.426870471309,2.61992450344201,381
"59150926005",63.5386309952497,24.463055811188,2.67420654112669,381
"59150927001",61.4565234173709,24.2773809433878,2.70623375218066,381
"59150927002",63.0211647178688,24.2506291575169,2.63515745866503,381
"59150927003",64.3395087189673,24.3187999745866,2.60021934876721,380
"59150927004",63.1388988198255,24.4087730418697,2.67187986240732,381
"59150927005",61.7469217677392,24.408873368861,2.69790986024986,381
"59150928001",63.9331074169642,24.1432778686743,2.59564460396432,380
"59150928002",65.2599960038754,24.3167721494893,2.64232257779707,380
"59150928003",65.6177212974712,24.3165665356574,2.85740301545641,380
"59150928004",65.2692040448255,24.1922591802788,3.08354207466058,380
"59150929001",63.8784167888029,24.4029940663121,2.69745095539978,377
"59150929002",63.0286358132997,24.5516969884774,2.75687298115096,378
"59150929003",62.9226021014569,24.5581902538342,2.71367419757866,378
"59150929004",64.6876553170685,24.5590281079255,2.75863281399732,378
"59150929005",65.8413280294545,24.4276507670971,2.83082048982438,377
"59150930001",62.8947569788286,24.5296937870171,2.90607253638758,379
"59150930002",62.1419085163636,24.7732781690625,2.85134096802712,381
"59150930003",62.8396705818427,24.5912062408957,2.67373804359423,380
"59150930004",63.7550821339107,24.2400269965414,2.65760096459274,379
"59150930005",62.6363461442202,24.520918998032,2.66486117178704,381
"59150931001",63.6776545607264,24.6466338859039,2.79268824779534,379
"59150931002",63.0509230449805,24.5758924721564,2.7247568808614,379
"59150931003",63.3646162485073,24.3149806476351,2.54968469654988,378
"59150931004",63.2746717091339,24.3178207317912,2.63157801202178,379
"59150931005",64.2555099886615,24.4080701324379,2.7020552721318,377
"59150931006",63.6228849494025,24.7359779239574,2.75274114697558,379
"59150931007",65.2248438112537,24.3587882618696,2.98908627203295,377
"59150932004",72.0339058562987,23.640893107567,3.22044486321525,372
"59150932005",72.2912145136179,23.6292262558514,3.2029439576514,372
"59150932006",67.7060267173706,24.1951096701781,3.07872431859648,375
"59150932007",67.1560562945209,24.1856256182037,2.8967018894083,373
"59150932008",66.0122776360943,24.2221664352265,2.87642315525844,375
"59150932009",67.8534281341949,24.0709334424023,2.88266503443171,373
"59150932010",69.6859973123939,23.8415183961072,3.39759243134553,374
"59150932011",72.5826083837941,23.5630859479749,3.3723002530951,373
"59150932012",78.8263377595774,23.8147835519896,2.82828312767356,363
