id,prox_emp,prox_pharma,prox_childcare,prox_health,prox_grocery,prox_educpri,prox_educsec,prox_lib,prox_parks,prox_transit
59152056002,0.0644,..,0.0485,0.0059,..,0.2072,0.3047,..,0.1394,0.0088
59152057001,0.0602,..,0.0529,0.0054,..,0.2084,0.3127,..,0.1619,0.007
59152057002,0.0568,0.0065,0.0449,0.004,..,0.1938,0.31,..,0.2527,0.0078
59152058001,0.056,0.008,0.0551,0.0047,..,0.2469,0.3652,..,0.2622,0.0068
59152058002,0.0564,0.0081,0.0586,0.0038,..,0.2731,0.3998,..,0.1552,0.0049
59152059001,0.0537,0.0068,0.0513,0.0028,..,0.24,0.3512,..,0.122,0.0039
59152060002,0.0631,0.019,0.0338,0.0048,..,0.1558,0.2681,..,0.2725,0.0057
59152060004,0.0561,0.0109,0.0423,0.0034,..,0.1455,0.253,..,0.1497,0.0078
59152060005,0.0597,0.0248,0.035,0.0046,..,0.1603,0.2786,..,0.2946,0.007
59152060009,0.0601,0.0337,0.0306,0.0045,..,0.1463,0.246,..,0.1896,0.0083
59152061001,0.0483,0.0074,0.0573,0.0022,..,0.2343,0.3711,..,0.1957,0.0023
59152062001,0.0536,0.0069,0.0499,0.0029,..,0.175,0.3396,..,0.2361,0.0038
59152063001,0.0499,..,0.0535,0.0032,..,0.1812,0.2874,..,0.1715,0.003
59152063003,0.0454,..,0.038,0.0023,..,0.0707,0.1348,..,0.0839,0.0023
59152063004,0.0489,0.007,0.0864,0.0026,..,0.0609,0.1178,..,0.1267,0.0027
59152063007,0.0433,..,0.0347,0.0018,..,0.1032,0.1795,..,0.1551,0.0013
59152063008,0.0446,..,0.0319,0.0019,..,0.0875,0.1569,..,0.1396,0.0016
59152064002,0.0494,..,0.0386,0.0032,..,0.0967,0.1763,..,0.1585,0.0043
59152064010,0.0423,..,0.0658,0.0033,..,0.1368,0.1763,..,0.152,0.0022
59152064012,0.0368,..,0.0054,0.003,..,0.037,0.0476,..,0.0315,0.0019
59152064013,0.0418,..,0.0885,0.0031,..,0.1066,0.1374,..,0.1493,0.0019
59152064016,0.0374,..,0.0184,0.0038,..,0.1257,0.162,..,0.0354,0.0024
59152064017,0.0393,..,0.0056,0.0023,..,..,..,..,..,0.0021
59152064018,0.0414,0.0072,0.0422,0.0037,0.0161,0.1826,0.2717,..,0.1658,0.0033
59152064019,0.0476,..,0.0415,0.0033,..,0.101,0.1775,..,0.1516,0.0031
59152064020,0.0455,..,0.0529,0.0032,..,0.1582,0.2439,..,0.1927,0.0023
59152064021,0.0414,..,0.0498,0.0031,..,0.1402,0.2159,..,0.1552,0.0019
59152065001,0.0483,0.0075,0.0459,0.004,0.0166,0.2106,0.327,..,0.2765,0.004
59152065003,0.0475,..,0.0385,0.0041,..,0.1427,0.2261,..,0.1568,0.0024
59152065004,0.0457,0.0072,0.0377,0.0034,0.0159,0.242,0.3597,..,0.2286,0.0033
59152066001,0.0524,..,0.0661,0.0027,..,0.1643,0.3054,..,0.2852,0.0057
59152066002,0.0477,0.0072,0.0603,0.0039,0.0161,0.181,0.312,..,0.3086,0.0046
59152067001,0.0437,0.0182,0.0427,0.004,0.0253,0.0979,0.2121,..,0.218,0.0062
59152067002,0.0526,0.0072,0.0587,0.0056,0.0161,0.1769,0.3165,..,0.2257,0.0058
59152067003,0.0466,0.0172,0.0373,0.0052,0.0236,0.1148,0.2349,..,0.2319,0.0053
59152068001,0.0582,0.0068,0.0795,0.0061,..,0.2501,0.4044,..,0.2261,0.0052
59152068002,0.0568,..,0.0633,0.0039,..,0.2099,0.3575,..,0.2379,0.0058
59152069001,0.054,..,0.0976,0.0031,..,0.1611,0.2786,..,0.2608,0.0058
59152069003,0.0552,0.0064,0.0531,0.0041,..,0.1585,0.4363,..,0.2192,0.0079
59152069004,0.0515,0.0079,0.0508,0.0028,..,0.1601,0.4384,..,0.1898,0.0045
59152069005,0.0497,0.0072,0.0427,0.0026,..,0.15,0.4253,..,0.1511,0.0042
59152070001,0.0624,..,0.0602,0.0057,..,0.1719,0.2732,..,0.1849,0.0087
59152070002,0.0592,..,0.0495,0.0051,..,0.1919,0.2892,..,0.1315,0.0053
59152070003,0.0571,..,0.0394,0.0046,..,0.1472,0.2513,..,0.1712,0.0045
59152071001,0.0593,0.0082,0.0705,0.0073,..,0.1666,0.3003,..,0.2008,0.0042
59152071002,0.0609,..,0.088,0.0056,..,0.1612,0.2841,..,0.1736,0.0062
59152071003,0.0634,..,0.0786,0.0058,..,0.1718,0.2933,..,0.1492,0.0076
59152071004,0.0663,..,0.0731,0.0062,..,0.1846,0.313,..,0.1308,0.0102
59152072001,0.0709,0.0068,0.0374,0.0066,0.0152,0.1383,0.2399,..,0.047,0.0176
59152072002,0.0664,..,0.0585,0.0058,..,0.2278,0.3576,..,0.0749,0.0119
59152073001,0.0625,..,0.0852,0.0091,..,0.142,0.2919,..,0.073,0.0093
59152073002,0.062,..,0.0598,0.0081,..,0.126,0.2444,..,0.0889,0.0047
59152074001,0.0696,..,0.0468,0.0081,..,0.0891,0.3281,..,0.0958,0.0209
59152074002,0.0682,..,0.0335,0.0079,..,0.1334,0.2483,..,0.0535,0.0201
59152075009,0.0657,..,0.0673,0.0086,0.0409,0.1183,0.2511,..,0.0693,0.0103
59152075010,0.0688,..,0.0442,0.0106,0.0253,0.0745,0.1943,..,0.1016,0.0224
59152076001,0.0572,0.0065,0.0906,0.0068,0.0262,0.0846,0.2097,..,0.1099,0.0047
59152077003,0.0567,..,0.0961,0.0072,0.0253,0.1154,0.2551,..,0.1144,0.0068
59152078004,0.062,0.013,0.0407,0.0109,0.0651,0.0789,0.1853,0.0501,0.1027,0.0129
59152079001,0.063,0.0155,0.0351,0.012,0.0483,0.1586,0.2399,0.0512,0.1146,0.0055
59152080001,0.0659,0.022,0.0446,0.0118,0.068,0.077,0.0992,0.0672,0.0867,0.0153
59152081001,0.0607,0.0535,0.0867,0.0116,0.0777,0.0914,0.1179,0.1112,0.1403,0.0276
59152081002,0.0576,0.0524,0.0462,0.022,0.056,0.2546,0.3282,0.0672,0.1201,0.0107
59152082003,0.0633,0.0886,0.0699,0.0182,0.0909,0.099,0.1276,0.1046,0.0655,0.0427
59152082004,0.06,0.0878,0.0475,0.0267,0.0712,0.1071,0.1381,0.0745,0.1021,0.018
59152083001,0.0639,0.1311,0.0626,0.0228,0.1592,0.0662,0.0853,0.0629,0.0388,0.0292
59152083002,0.0496,0.0465,0.097,0.014,0.0506,..,..,0.0508,..,0.0111
59152083003,0.0576,0.1437,0.0635,0.0343,0.0954,0.1024,0.132,0.0476,0.0293,0.0146
59152084001,0.0497,0.0819,0.0475,0.0224,0.0683,0.092,0.1186,..,0.0119,0.0067
59152084002,0.0448,0.0415,0.0283,0.0154,0.0289,0.0733,0.0944,..,..,0.0022
59152086001,0.0459,..,0.0512,0.0103,..,0.0388,0.05,..,0.01,0.0071
59152086002,0.0445,..,0.0497,0.0098,..,0.0306,0.0395,..,..,0.0051
59152086003,0.0493,0.0312,0.0787,0.0138,0.0346,0.0263,0.0339,..,0.0104,0.0097
59152086004,0.0449,0.0288,0.0735,0.0102,0.0286,0.0278,0.0359,..,..,0.006
59152087001,0.0571,0.0284,0.0786,0.0199,0.045,0.0269,0.0346,0.0528,0.0112,0.0195
59152087002,0.0485,0.0406,0.0784,0.0132,0.0457,..,..,0.0486,..,0.0081
59152087003,0.0503,0.0451,0.0884,0.0143,0.0535,0.0263,0.0339,0.052,..,0.0127
59152088001,0.0499,0.0082,0.1023,0.0162,..,0.038,0.049,0.0493,0.0218,0.0142
59152088002,0.0532,0.0255,0.0813,0.02,0.0341,0.0306,0.0395,0.0597,0.0143,0.0179
59152088003,0.053,0.0261,0.0817,0.0188,0.0378,0.0288,0.0372,0.0553,0.0128,0.0171
59152088004,0.0562,0.0256,0.0789,0.0178,0.0399,0.0284,0.0366,0.0508,0.0123,0.0155
59152089001,0.0492,0.008,0.1286,0.012,..,0.0719,0.0927,..,0.0655,0.005
59152089002,0.0488,0.0066,0.0776,0.0141,..,0.0392,0.0505,..,0.0164,0.0074
59152090001,0.0529,0.0098,0.1565,0.0119,..,0.0687,0.0886,0.0486,0.0345,0.0075
59152090002,0.0535,0.0119,0.1393,0.0105,..,0.0758,0.0977,0.0532,0.0313,0.011
59152090003,0.0523,0.015,0.1217,0.0113,..,0.0659,0.0849,0.0582,0.0292,0.014
59152090004,0.0552,0.0234,0.1036,0.0114,0.0292,0.0817,0.1053,0.0597,0.0393,0.0101
59152091001,0.0482,0.0519,0.097,0.0084,0.06,0.0669,0.0862,0.0824,0.0219,0.0246
59152091002,0.0508,0.0588,0.1079,0.0209,0.0629,0.0652,0.0841,0.091,0.0225,0.028
59152092001,0.0622,0.0381,0.0578,0.0146,0.1281,0.1332,0.1717,0.0898,0.0784,0.0171
59152092002,0.0647,0.0717,0.0789,0.013,0.1332,0.103,0.1327,0.1372,0.0772,0.0276
