"fromId","all_destination_scores","nearest1_gallery_scores","nearest1_library_or_archives_scores","nearest1_museum_scores","nearest1_theatre_performance_and_concert_hall_scores","nearest3_gallery_scores","nearest3_library_or_archives_scores","nearest3_museum_scores","nearest3_theatre_performance_and_concert_hall_scores","gallery_scores","library_archives_scores","museum_score","theatre_concert_hall_scores","pop","lat","lon"
"59150705003",0.76374020244836,0.598014856063728,0.485168989927546,0.517373129276951,0.490026474752914,0.409071192832608,0.685203401244423,0.361501679899366,0.393124484495729,0.6754764,0.3266549,0.4657601,0.4325759,"167",49.257,-123.0995
"59150705004",0.7604637994261,0.627088674676227,0.499881865682971,0.60263636338193,0.447518330613617,0.405024670790485,0.629422912639178,0.388891953637157,0.383650517063479,0.6773691,0.3234332,0.4676628,0.4325253,"10",49.257,-123.1009
"59150705005",0.768740751190173,0.536148258729614,0.826756014612755,0.441129206334529,0.490026474752914,0.452558656882068,0.659757937302164,0.352007756301405,0.391177884250773,0.6833081,0.3249162,0.4675517,0.4348942,"131",49.257,-123.0974
"59150706001",0.814095267408365,0.616504573486706,0.535663534361142,0.641305827132232,0.532619686005852,0.461056840900261,0.63672962118156,0.478210023670038,0.449477330445943,0.7495619,0.3371699,0.5018791,0.4715688,"0",49.2589,-123.1008
"59150706002",0.802330154490726,0.536148258729614,0.499881865682971,0.586828793156899,0.532619686005852,0.432525888556918,0.512743484559366,0.458604954769854,0.4416270674385,0.7314178,0.3289731,0.49912,0.4627001,"316",49.2588,-123.0994
"59150707001",0.812152587591632,0.574104561675346,0.535663534361142,0.586828793156899,0.570865350670093,0.451065927150129,0.506934148244216,0.490067870475026,0.459961574354608,0.7501429,0.3306298,0.5039563,0.470295,"100",49.2596,-123.0974
"59150707002",0.806278533477679,0.536148258729614,0.499881865682971,0.547803004330005,0.532619686005852,0.430708802719294,0.521317948682398,0.435452764090545,0.421410617977691,0.7380389,0.3295389,0.5004606,0.4624727,"304",49.2588,-123.0974
"59150708005",0.772563406970097,0.520541206571186,0.471981553100021,0.517373129276951,0.51689365272748,0.416598187151743,0.533200734870337,0.37842561395919,0.400729037562177,0.6881735,0.3262736,0.4726636,0.4382246,"245",49.2579,-123.0974
"59150708006",0.815376769297188,0.536148258729614,0.485168989927546,0.531756195908859,0.532619686005852,0.429817788532411,0.478830488115841,0.410027479568933,0.435744114972854,0.7501143,0.3327848,0.5059503,0.4700426,"74",49.2595,-123.094
"59150708007",0.815056056494008,0.536148258729614,0.485168989927546,0.481334504702057,0.532619686005852,0.429817788532411,0.477915236038717,0.406410499666373,0.435744114972854,0.749957,0.3323081,0.5058357,0.4700625,"0",49.2602,-123.094
