"fromId","type","time_groups","pop"
"59150030007","library or archives","30",68
"59150030007","museum","45",68
"59150030007","theatre/performance and concert hall","60",68
"59150030008","gallery","30",70
"59150030008","library or archives","30",70
"59150030008","museum","30",70
"59150030008","theatre/performance and concert hall","60",70
"59150030009","gallery","30",50
"59150030009","library or archives","30",50
"59150030009","museum","30",50
"59150030009","theatre/performance and concert hall","60",50
"59150030010","gallery","30",47
"59150030010","library or archives","30",47
"59150030010","museum","30",47
"59150030010","theatre/performance and concert hall","45",47
"59150030011","gallery","30",50
"59150030011","library or archives","30",50
"59150030011","museum","30",50
"59150030011","theatre/performance and concert hall","45",50
"59150030012","gallery","30",66
"59150030012","library or archives","30",66
"59150030012","museum","30",66
"59150030012","theatre/performance and concert hall","60",66
"59150030013","gallery","30",5
"59150030013","library or archives","30",5
"59150030013","museum","30",5
"59150030013","theatre/performance and concert hall","60",5
"59150031003","gallery","30",187
"59150031003","library or archives","30",187
"59150031003","museum","30",187
"59150031003","theatre/performance and concert hall","60",187
"59150031004","gallery","45",65
"59150031004","library or archives","45",65
"59150031004","museum","45",65
"59150031004","theatre/performance and concert hall","60",65
"59150031005","gallery","45",24
"59150031005","library or archives","45",24
"59150031005","museum","45",24
"59150031005","theatre/performance and concert hall","60",24
"59150031009","gallery","45",404
"59150031009","library or archives","45",404
"59150031009","museum","45",404
"59150031009","theatre/performance and concert hall","60",404
"59150031010","gallery","60",0
"59150031010","library or archives","60",0
"59150031010","museum","60",0
"59150031010","theatre/performance and concert hall","75",0
"59150032001","gallery","45",80
"59150032001","library or archives","30",80
"59150032001","museum","45",80
"59150032001","theatre/performance and concert hall","60",80
"59150032004","gallery","30",37
"59150032004","library or archives","30",37
"59150032004","museum","30",37
"59150032004","theatre/performance and concert hall","60",37
"59150032009","gallery","30",45
"59150032009","library or archives","30",45
"59150032009","museum","30",45
"59150032009","theatre/performance and concert hall","45",45
"59150032010","gallery","45",105
"59150032010","library or archives","30",105
"59150032010","museum","45",105
"59150032010","theatre/performance and concert hall","60",105
"59150032011","gallery","45",133
"59150032011","library or archives","30",133
"59150032011","museum","45",133
"59150032011","theatre/performance and concert hall","60",133
"59150033002","gallery","60",56
"59150033002","library or archives","60",56
"59150033002","museum","60",56
"59150033002","theatre/performance and concert hall","75",56
"59150033003","gallery","45",51
"59150033003","library or archives","45",51
"59150033003","museum","45",51
"59150033003","theatre/performance and concert hall","60",51
"59150033004","gallery","45",23
"59150033004","library or archives","45",23
"59150033004","museum","45",23
"59150033004","theatre/performance and concert hall","60",23
"59150033007","gallery","60",0
"59150033007","library or archives","60",0
"59150033007","museum","60",0
"59150033007","theatre/performance and concert hall","75",0
"59150033008","gallery","75",343
"59150033008","library or archives","60",343
"59150033008","museum","60",343
