"fromId","type","time_groups","pop"
"2.92239933298527e-313","gallery","45",55
"2.92239933298527e-313","library or archives","45",55
"2.92239933298527e-313","museum","45",55
"2.92239933298527e-313","theatre/performance and concert hall","60",55
"2.9223993821448e-313","gallery","45",90
"2.9223993821448e-313","library or archives","45",90
"2.9223993821448e-313","museum","45",90
"2.9223993821448e-313","theatre/performance and concert hall","75",90
"2.92239938219421e-313","gallery","45",129
"2.92239938219421e-313","library or archives","45",129
"2.92239938219421e-313","museum","45",129
"2.92239938219421e-313","theatre/performance and concert hall","60",129
"2.92239938224361e-313","gallery","45",73
"2.92239938224361e-313","library or archives","45",73
"2.92239938224361e-313","museum","45",73
"2.92239938224361e-313","theatre/performance and concert hall","60",73
"2.92239943155137e-313","gallery","60",54
"2.92239943155137e-313","library or archives","45",54
"2.92239943155137e-313","museum","60",54
"2.92239943155137e-313","theatre/performance and concert hall","75",54
"2.92239943174899e-313","gallery","45",5
"2.92239943174899e-313","library or archives","45",5
"2.92239943174899e-313","museum","45",5
"2.92239943174899e-313","theatre/performance and concert hall","60",5
"2.92239943199602e-313","gallery","45",82
"2.92239943199602e-313","library or archives","45",82
"2.92239943199602e-313","museum","45",82
"2.92239943199602e-313","theatre/performance and concert hall","60",82
"2.92239943204543e-313","gallery","45",413
"2.92239943204543e-313","library or archives","45",413
"2.92239943204543e-313","museum","45",413
"2.92239943204543e-313","theatre/performance and concert hall","75",413
"2.92239948095793e-313","gallery","45",0
"2.92239948095793e-313","library or archives","45",0
"2.92239948095793e-313","museum","45",0
"2.92239948095793e-313","theatre/performance and concert hall","60",0
"2.92239948100734e-313","gallery","45",15
"2.92239948100734e-313","library or archives","45",15
"2.92239948100734e-313","museum","45",15
"2.92239948100734e-313","theatre/performance and concert hall","60",15
"2.92239948115556e-313","gallery","45",86
"2.92239948115556e-313","library or archives","45",86
"2.92239948115556e-313","museum","45",86
"2.92239948115556e-313","theatre/performance and concert hall","60",86
"2.92239948120496e-313","gallery","45",83
"2.92239948120496e-313","library or archives","45",83
"2.92239948120496e-313","museum","45",83
"2.92239948120496e-313","theatre/performance and concert hall","60",83
"2.9223994815014e-313","gallery","45",42
"2.9223994815014e-313","library or archives","45",42
"2.9223994815014e-313","museum","45",42
"2.9223994815014e-313","theatre/performance and concert hall","60",42
"2.92239948164962e-313","gallery","45",0
"2.92239948164962e-313","library or archives","45",0
"2.92239948164962e-313","museum","45",0
"2.92239948164962e-313","theatre/performance and concert hall","60",0
"2.92239948169903e-313","gallery","45",32
"2.92239948169903e-313","library or archives","45",32
"2.92239948169903e-313","museum","45",32
"2.92239948169903e-313","theatre/performance and concert hall","60",32
"2.92239948174843e-313","gallery","45",84
"2.92239948174843e-313","library or archives","45",84
"2.92239948174843e-313","museum","45",84
"2.92239948174843e-313","theatre/performance and concert hall","60",84
"2.92239953036449e-313","gallery","45",87
"2.92239953036449e-313","library or archives","45",87
"2.92239953036449e-313","museum","45",87
"2.92239953036449e-313","theatre/performance and concert hall","75",87
"2.92239953051271e-313","gallery","45",32
"2.92239953051271e-313","library or archives","45",32
"2.92239953051271e-313","museum","45",32
"2.92239953051271e-313","theatre/performance and concert hall","60",32
"2.92239953066093e-313","gallery","45",68
"2.92239953066093e-313","library or archives","45",68
"2.92239953066093e-313","museum","45",68
"2.92239953066093e-313","theatre/performance and concert hall","60",68
"2.92239953071034e-313","gallery","45",286
"2.92239953071034e-313","library or archives","45",286
"2.92239953071034e-313","museum","45",286
"2.92239953071034e-313","theatre/performance and concert hall","60",286
"2.92239953075975e-313","gallery","45",119
"2.92239953075975e-313","library or archives","45",119
"2.92239953075975e-313","museum","45",119
"2.92239953075975e-313","theatre/performance and concert hall","75",119
"2.92239953080915e-313","gallery","45",17
"2.92239953080915e-313","library or archives","45",17
